Timestamp,How many giveaways have you run for marketing purposes?,How are you related to the development team for the game being given away?,At what stage is the game being given away,Has the game being given away been bundled?,How many copies/keys are being given away?,What was the main reason for the giveaway?,What was the secondary reason for the giveaway?,Was the giveaway a success based on its marketing purposes?,Did you measure (and analyse) the results of the giveaway?,"If the results were measured, how was this done, and what were the results?"
2016/07/07 11:15:30 AM GMT+8,2-5,I am part of the dev team,Early Access,No,01-Sep,Increase awareness/sales of the game been given away,Increase awareness of social media channels,Yes,Yes,"Used google analytics and steam marketing analytics to measure visits, sales & wishlists. Visits and wishlists up, but sales flat."
2016/07/07 4:01:10 PM GMT+8,1,I have no connection to the dev team,Normally available for sale,No,Oct-49,Increase awareness/members of social media channels,Increase awareness of a different game,Yes,No,
2016/07/07 4:01:57 PM GMT+8,10+,I have no connection to the dev team,Normally available for sale,Yes,50-99,The joy of giving,Increase awareness of the game been given away,No,No,
2016/07/07 4:02:25 PM GMT+8,1,I have no connection to the dev team,Normally available for sale,No,01-Sep,The joy of giving,The joy of giving,Yes,Yes,profit
2016/07/07 4:17:54 PM GMT+8,1,I have no connection to the dev team,Just released,No,01-Sep,Increase awareness/sales/greenlight votes of a different game,None,No,No,
2016/07/07 9:05:14 PM GMT+8,5-10,I am part of the dev team,Normally available for sale,Yes,50-99,Increase awareness/sales of the game been given away,The joy of giving,Yes,Yes,
2016/07/07 9:30:45 PM GMT+8,10+,I am acting on behalf of the dev team,Early Access,No,50-99,The joy of giving,Increase awareness of the game been given away,Yes,No,
2016/07/08 3:09:41 AM GMT+8,10+,I am part of the dev team,Just released,No,1000+,Increase awareness/sales/greenlight votes of a different game,Increase awareness of social media channels,Yes,Yes,
2016/07/08 12:14:25 PM GMT+8,1,I am acting on behalf of the dev team,Just released,No,Oct-49,Increase awareness/sales of the game been given away,The joy of giving,No,No,
2016/07/08 6:01:40 PM GMT+8,10+,I am part of the dev team,Early Access,No,1000+,Increase awareness/membership of giveaway group,None,Yes,No,
2016/07/08 6:13:25 PM GMT+8,1,I have no connection to the dev team,Normally available for sale,No,50-99,Increase awareness/members of social media channels,Increase awareness/membership of giveaway group,No,Yes,By looking at increase in group membership as well as event activity for social event I was hosting. Event activity compared to previous non-marketed results was almost the same. Group membership raised by 10-20 users only while GA had thousands of entries. Most of low level public users on SG don't read descriptions thus I believe it's not good for marketing (maybe beside marketing the very game that is being given away).
2016/07/08 6:55:49 PM GMT+8,2-5,I have no connection to the dev team,Normally available for sale,No,01-Sep,Increase awareness/sales of the game been given away,Increase awareness of social media channels,Yes,No,
2016/07/08 6:56:41 PM GMT+8,2-5,I have no connection to the dev team,Normally available for sale,Yes,01-Sep,Increase awareness/sales of the game been given away,The joy of giving,Yes,No,
2016/07/08 7:26:18 PM GMT+8,10+,I have no connection to the dev team,Normally available for sale,No,Oct-49,Increase awareness/sales of the game been given away,The joy of giving,Yes,No,
2016/07/09 11:04:36 AM GMT+8,1,I have no connection to the dev team,Normally available for sale,No,Oct-49,The joy of giving,Increase awareness of the game been given away,Yes,No,
